Countries,Users,"Information (organization, profile etc)",,,Regional @,
Libya,@FezzanLibyaG,Local media,,,,
Libya,@Arn_Del,Journalist,,,,
Libya,@S_M_Hunter,Researcher,,,,
Libya,@info_libya,International news on Libya,,,,
Libya,@reportingLibya,Journalist,,,,
Libya,@MaryFitzger,Journalist,,,,
Libya,@Eljarh,Researcher,,,,
Libya,@Rana_J01,Journalist,,,,
Libya,@libyaherald,Local media,,,,
Libya,@HananMSalah,HRW researcher,,,,
Libya,@KoblerSRSG,UN Special Envoy to Libya,,,,
Libya,@UNSMILibya,UN Mission in Libya,,,,
Libya,@Lyobserver,Local media,,,,
Mozambique,@clubOmozambique,Local media,,,,
Mozambique,@zenaidamz,HRW researcher,,,,
Mozambique,@dsminbc,Historian,,,,
Mozambique,@cafauvrelle,UNICEF employee,,,,
Mozambique,@ZitamarNews,Local Media,,,,
Mozambique,@echaras,Activist,,,,
Mozambique,@verdadeen,Local media,,,,
Mozambique,@IvoneSoares,Politician,,,,
Mozambique,@RobertoTibana1,Economist,,,,
Mozambique,@tomqueface,Activist,,,,
Mozambique,@TomBowk,Journalist,,,,
Mozambique,@AllexandreMZ,Journalist,,,,
Mozambique,@AmbConticelli,Italian Ambassador to Mozambique,,,,
Mozambique,@tsandzanaa,Activist,,,,
Mozambique,@adrivdal,Journalist,,,,
Mozambique,@SAFI_Research,Research project on irrigation,,,,
Mozambique,@basiliomuhate,Politician,,,,
Mozambique,@MozambiqueRR,News feed,,,,
Mozambique,@AdrienBarbier,Journalist,,,,
South Africa,@eNCA,Local media,,,,
South Africa,@thedailyvox,Local media,,,,
South Africa,@khadijapatel,Journalist,,,,
South Africa,@Jason_Boswell,Journalist,,,,
South Africa,@MrBenShep,Journalist,,,,
South Africa,@mailandguardian,Local Media,,,,
South Africa,@PaulivW,Journalist,,,,
South Africa,@BrendanSAfrica,Researcher,,,,
South Africa,@Sipho_Mthathi,Oxfam South Africa,,,,
South Africa,@_SaveSA,Political campaign,,,,
South Africa,@HuffPostSA,Huffington Post S. Africa,,,,
South Africa,@justicemalala,Journalist,,,,
Afghanistan, @IOMAfghanistan,IOM Afghanistan,,,,
Afghanistan,@OCHA,OCHA Afghanistan,,,,
Afghanistan,UNDPaf,UNDP Afghanistan,,,,
Afghanistan,@AfghanistanTime,Local media,,,,
Afghanistan,@khaama,Local media,,,,
Afghanistan,@TOLOnews ,Local media,,,,
Afghanistan,@AANafgh,Kabul-based policy research organisation,,,,
Afghanistan,@ahmadjavid,Analyst on South Asia/security issues,,,,
Afghanistan,@AghanMissionUN,Permanent Mission of Afghanistan to the UN (Only reliable source for number of casualties due to conflict),,,,
Afghanistan,@afghantoday,Local media,,,,
Afghanistan,@USAIDAghan,USAID Afghanistan,,,,
Malawi,@Malawi24,Local media,,,,
Malawi,@bnltimes,Local media,,,,
Malawi,@malawivoice,Local media,,,,
Malawi,@MalawiBreaking,Local media,,,,
Malawi,@MalawiNation,Local media,,,,
Swaziland,@mbongenimbingo,Journalist,,,,
Swaziland,@SwaziObserver,Local media,,,,
Swaziland,@BhekiMakhubu,Journalist,,,,
Swaziland,@SwaziTimes,Local media,,,,
Swaziland,@USEmbSwaziland,US Embassy Swaziland,,,,
Swaziland,@EUinSwaziland,EU mission in Swaziland,,,,
Swaziland,@Unicef_Swazi,UNICEF Swaziland,,,,
Swaziland,@UNDPSwaziland,UNDP Swaziland,,,,
Albania,@TiranaTimes,Local media,,,,
Albania,@dlAlbania,Local media,,,,
Fiji,@FijiOneNews,Local media,,,,
Fiji,@FijiRedCross,Local media,,,,
Fiji,@fijitimes,Local media,,,,
Tanzania,@HabariLeo,Local media,,,,
Tanzania,@TheCitizenTZ,Local media,,,,
Kuwait,@TheKuwaitNews,Local media,,,,
Kuwait,@Q8Post,Local media,,,,
Kuwait,@kuna_en,Local media,,,,
Kuwait,@KuwaitNewz,Local media,,,,
Kuwait,@WatanNews,Local media,,,,
